Timestamp,language,problem
10/24/2022 10:01:36,C,Readability
10/24/2022 12:27:29,C,Mario
10/24/2022 09:51:57,Scratch,Hello
10/24/2022 09:34:57,Scratch,Filter
10/24/2022 08:34:42,C,Runoff
10/24/2022 11:58:48,C,Hello
10/24/2022 08:28:59,Scratch,Scratch
10/24/2022 17:55:13,Python,Scratch
10/24/2022 16:10:39,Scratch,Readability
10/24/2022 08:07:05,C,Filter
10/24/2022 14:11:38,Python,Mario
10/24/2022 11:55:10,Python,Runoff
10/24/2022 09:41:18,Python,Runoff
10/24/2022 14:32:06,Python,Cash
10/24/2022 12:48:55,C,DNA
10/24/2022 17:45:42,C,Filter
10/24/2022 09:26:04,Scratch,Readability
10/24/2022 14:35:00,Scratch,Scratch
10/24/2022 09:15:58,C,Scratch
10/24/2022 13:16:05,C,Scratch
10/24/2022 09:50:19,Python,Readability
10/24/2022 16:15:14,Scratch,Bulbs
10/24/2022 10:57:39,Python,Bulbs
10/24/2022 11:48:50,Scratch,Readability
10/24/2022 09:17:59,Scratch,Mario
10/24/2022 17:43:25,Scratch,Scratch
10/24/2022 10:58:28,Python,Filter
10/24/2022 12:54:51,Scratch,Hello
10/24/2022 11:59:52,Scratch,Bulbs
10/24/2022 09:01:05,C,Credit
10/24/2022 13:44:33,Python,Readability
10/24/2022 09:12:17,C,Cash
10/24/2022 13:43:42,C,DNA
10/24/2022 15:12:08,Scratch,DNA
10/24/2022 10:36:03,Python,Mario
10/24/2022 12:29:22,Scratch,Hello
10/24/2022 17:48:42,Python,Cash
10/24/2022 15:47:57,Scratch,Filter
10/24/2022 14:35:23,C,Mario
10/24/2022 17:16:32,Python,Runoff
10/24/2022 08:51:27,C,Mario
10/24/2022 10:54:44,Scratch,Filter
10/24/2022 09:09:23,Python,Filter
10/24/2022 16:31:14,Scratch,Readability
10/24/2022 08:12:32,Scratch,Runoff
10/24/2022 17:46:30,Python,Bulbs
10/24/2022 10:01:50,Python,Filter
10/24/2022 10:52:45,Python,Credit
10/24/2022 12:47:41,Scratch,Mario
10/24/2022 17:14:31,C,Readability
10/24/2022 17:14:30,Scratch,Scratch
10/24/2022 10:46:56,Python,Mario
10/24/2022 17:49:08,Scratch,Credit
10/24/2022 13:54:03,Python,Credit
10/24/2022 10:02:11,Python,Readability
10/24/2022 12:21:32,C,Scratch
10/24/2022 09:26:01,C,DNA
10/24/2022 09:15:35,Scratch,Mario
10/24/2022 10:20:14,Scratch,DNA
10/24/2022 11:00:21,Python,Hello
10/24/2022 15:42:10,C,Hello
10/24/2022 11:39:42,Scratch,Readability
10/24/2022 15:15:48,Scratch,Bulbs
10/24/2022 15:58:31,Scratch,DNA
10/24/2022 10:12:10,C,Scratch
10/24/2022 09:09:56,Python,Credit
10/24/2022 12:11:20,Scratch,Scratch
10/24/2022 08:07:51,C,Credit
10/24/2022 12:10:03,C,Credit
10/24/2022 14:00:54,C,Hello
10/24/2022 12:19:57,Python,DNA
10/24/2022 11:54:00,Scratch,Mario
10/24/2022 16:36:16,C,DNA
10/24/2022 15:24:37,C,Runoff
10/24/2022 09:45:52,Scratch,Filter
10/24/2022 14:26:59,Python,Filter
10/24/2022 16:30:06,Scratch,Credit
10/24/2022 09:47:29,C,Filter
10/24/2022 14:10:36,C,Scratch
10/24/2022 11:29:16,C,Hello
10/24/2022 16:10:00,C,Filter
10/24/2022 11:20:25,Python,DNA
10/24/2022 12:32:51,C,DNA
10/24/2022 09:46:56,C,Hello
10/24/2022 08:16:07,C,Scratch
10/24/2022 11:01:39,Python,DNA
10/24/2022 16:45:46,C,Filter
10/24/2022 09:04:02,C,Filter
10/24/2022 08:02:21,Python,Readability
10/24/2022 16:16:59,Python,Filter
10/24/2022 16:51:34,C,Scratch
10/24/2022 13:24:05,C,Credit
10/24/2022 17:52:13,C,Bulbs
10/24/2022 09:02:26,C,Cash
10/24/2022 16:40:46,Scratch,Hello
10/24/2022 10:51:57,C,Hello
10/24/2022 09:27:30,C,Runoff
10/24/2022 09:14:13,Scratch,Scratch
10/24/2022 15:21:01,C,Cash
10/24/2022 12:28:55,Scratch,Cash
10/24/2022 08:43:24,Scratch,Runoff
10/24/2022 15:37:54,Scratch,Cash
10/24/2022 17:31:01,Python,Readability
10/24/2022 11:43:06,Scratch,Bulbs
10/24/2022 12:20:42,Python,Filter
10/24/2022 10:22:57,Scratch,Readability
10/24/2022 16:19:24,Python,Runoff
10/24/2022 08:10:10,Python,Cash
10/24/2022 09:49:12,C,Hello
10/24/2022 11:52:49,Scratch,Readability
10/24/2022 10:24:40,Python,Runoff
10/24/2022 12:26:49,Python,Readability
10/24/2022 10:52:18,Python,Hello
10/24/2022 13:30:25,Scratch,Hello
10/24/2022 08:08:32,Scratch,Hello
10/24/2022 13:27:00,Scratch,Runoff
10/24/2022 10:26:40,Python,Runoff
10/24/2022 09:56:54,Scratch,Hello
10/24/2022 10:49:47,Python,Readability
10/24/2022 11:50:03,Scratch,Bulbs
10/24/2022 11:42:22,Scratch,Readability
10/24/2022 17:12:02,Python,Readability
10/24/2022 08:55:29,C,Filter
10/24/2022 13:02:12,C,Credit
10/24/2022 14:04:19,C,Readability
10/24/2022 10:56:29,Scratch,DNA
10/24/2022 15:47:08,Scratch,Credit
10/24/2022 10:02:11,C,Mario
10/24/2022 17:55:55,C,Bulbs
10/24/2022 10:41:45,Python,Mario
10/24/2022 08:45:41,Python,Bulbs
10/24/2022 08:43:34,Python,Scratch
10/24/2022 12:32:33,Scratch,Runoff
10/24/2022 14:26:18,Scratch,Filter
10/24/2022 10:48:48,C,Mario
10/24/2022 11:13:23,Python,Credit
10/24/2022 11:15:54,Scratch,Bulbs
10/24/2022 15:29:42,Scratch,Scratch
10/24/2022 12:51:25,C,Runoff
10/24/2022 14:57:50,C,DNA
10/24/2022 12:02:57,C,DNA
10/24/2022 14:21:55,Python,Scratch
10/24/2022 12:03:29,C,Scratch
